calendar_year,month,tons,date,fiscal_year,30_waste_est(ton),2015_GHG_est,2020_GHG_est,,Date,parent,food,Percentage,GHG_estimation,,Date,parent,food,Percentage,GHG_estimation
2011,8,9.17,2011-8,2012,17.21664,20.66417818,14.6009325,,,,,,,,,,,,
2011,9,13.09,2011-9,2012,17.21664,29.49772,20.8425525,,,,,,,,,,,,
2011,10,13.5,2011-10,2012,17.21664,30.42163636,21.495375,,,,,,,,,,,,
2011,11,14.55,2011-11,2012,17.21664,32.78776364,23.1672375,,,,,,,,,,,,
2011,12,16.28,2011-12,2012,17.21664,36.68624,25.92183,,,,,,,,,,,,
2010,1,2.03,2010-1,2010,17.21664,4.574512727,3.2322675,,,,,,,,,,,,
2010,2,4.2,2010-2,2010,17.21664,9.464509091,6.68745,,,,,,,,,,,,
2010,3,9.05,2010-3,2010,17.21664,20.39376364,14.4098625,,,,,,,,,,,,
2010,4,12.19,2010-4,2010,17.21664,27.46961091,19.4095275,,,,,,,,,,,,
2010,5,13.47,2010-5,2010,17.21664,30.35403273,21.4476075,,,,,,,,,,,,
2010,6,10.51,2010-6,2010,17.21664,23.68380727,16.7345475,,,,,,,,,,,,
2010,7,8.96,2010-7,2011,17.21664,20.19095273,14.26656,,,,,,,,,,,,
2010,8,8.34,2010-8,2011,17.21664,18.79381091,13.279365,,,,,,,,,,,,
2010,9,14.47,2010-9,2011,17.21664,32.60748727,23.0398575,,,,,,,,,,,,
2010,10,13.9,2010-10,2011,17.21664,31.32301818,22.132275,,,,,,,,,,,,
2010,11,13.37,2010-11,2011,17.21664,30.12868727,21.2883825,,,,,,,,,,,,
2010,12,11.27,2010-12,2011,17.21664,25.39643273,17.9446575,,,,,,,,,,,,
2009,1,1.81,2009-1,2009,17.21664,4.078752727,2.8819725,,,,,,,,,,,,
2009,2,5.66,2009-2,2009,17.21664,12.75455273,9.012135,,,,,,,,,,,,
2009,3,3.6,2009-3,2009,17.21664,8.112436364,5.7321,,,,,,,,,,,,
2009,4,4.58,2009-4,2009,17.21664,10.32082182,7.292505,,,,,,,,,,,,
2009,5,5.33,2009-5,2009,17.21664,12.01091273,8.4866925,,,,,,,,,,,,
2009,6,3.68,2009-6,2009,17.21664,8.292712727,5.85948,,,,,,,,,,,,
2009,7,3.4,2009-7,2010,17.21664,7.661745455,5.41365,,,,,,,,,,,,
2009,8,2.18,2009-8,2010,17.21664,4.912530909,3.471105,,,,,,,,,,,,
2009,9,4.48,2009-9,2010,17.21664,10.09547636,7.13328,,,,,,,,,,,,
2009,10,5,2009-10,2010,17.21664,11.26727273,7.96125,,,,,,,,,,,,
2009,11,4.08,2009-11,2010,17.21664,9.194094545,6.49638,,,,,,,,,,,,
2009,12,2.7,2009-12,2010,17.21664,6.084327273,4.299075,,,,,,,,,,,,
